LSOA_name;LSOA_code;gen-12;feb-12;mar-12;apr-12;mag-12;giu-12;lug-12;ago-12;set-12;ott-12;nov-12;dic-12;gen-13;feb-13;mar-13;apr-13;mag-13;giu-13;lug-13;ago-13;set-13;ott-13;nov-13;dic-13;gen-14;feb-14;mar-14;apr-14;mag-14;giu-14;lug-14;ago-14;set-14;ott-14;nov-14;dic-14;gen-15;feb-15;mar-15;apr-15;mag-15;giu-15;lug-15;ago-15;set-15;ott-15;nov-15;dic-15;gen-16;feb-16;mar-16;apr-16;mag-16;giu-16;lug-16;ago-16;set-16;ott-16;nov-16;dic-16;gen-17;feb-17;mar-17;apr-17;mag-17;giu-17;lug-17;ago-17;set-17;ott-17;nov-17;dic-17;gen-18;feb-18;mar-18;apr-18;mag-18;giu-18;lug-18;ago-18;set-18;ott-18;nov-18;dic-18;gen-19;feb-19;mar-19;apr-19;mag-19;giu-19;lug-19;ago-19;set-19;ott-19;nov-19;dic-19
City of London;E09000001;525.723;510.537;527.408;524.290;573.532;542.518;543.037;496.168;525.971;521.769;521.448;491.529;465.451;499.207;527.874;590.685;578.037;662.700;651.116;645.847;529.619;527.374;546.793;615.401;625.001;648.359;654.629;665.262;682.663;697.309;724.282;761.544;753.704;763.369;762.735;773.768;783.667;760.550;767.207;729.148;762.815;776.509;779.097;760.243;767.464;781.358;741.727;713.253;736.788;765.644;794.754;805.320;845.579;907.965;911.827;848.269;780.527;792.664;818.663;811.786;820.305;820.665;853.943;906.146;939.912;930.979;854.798;847.422;836.674;818.477;790.159;778.002;802.129;783.266;740.799;732.351;796.399;789.278;809.697;784.144;800.875;802.869;764.207;811.694;865.636;894.520;853.451;738.797;719.218;761.526;756.407;813.770;810.455;826.227;772.325;757.730
Barking & Dagenham;E09000002;163.899;163.607;164.438;164.731;166.503;168.049;168.007;166.180;165.304;165.328;166.508;167.813;167.919;169.461;169.414;169.968;170.475;172.652;174.604;173.720;174.761;176.821;181.910;183.099;184.884;185.428;189.877;193.077;196.620;198.040;201.936;204.974;210.412;213.903;216.631;218.285;220.070;222.919;222.417;222.176;221.826;227.558;235.702;241.735;243.479;243.539;246.955;253.145;258.758;262.861;266.209;266.744;268.081;269.318;274.243;279.484;283.654;286.210;285.853;285.622;282.441;280.698;278.213;280.567;286.018;289.569;291.727;290.965;292.519;293.390;293.796;292.915;291.548;292.777;291.723;291.184;290.239;294.236;294.953;295.908;296.424;299.648;302.606;301.114;297.181;293.839;294.065;295.498;295.092;293.889;297.426;299.421;304.778;304.579;304.515;299.771
Barnet;E09000003;351.280;352.048;348.611;351.150;353.469;361.667;362.335;362.586;367.109;366.527;365.376;361.371;362.880;363.064;363.754;361.907;364.637;367.754;377.520;382.032;385.304;385.629;390.598;392.168;398.384;403.842;411.453;414.855;421.203;428.806;438.505;446.443;450.728;451.041;448.523;450.577;461.383;471.363;473.233;472.033;466.125;473.322;470.262;478.796;484.487;492.110;499.850;501.293;512.166;509.863;513.342;517.408;533.676;539.830;535.272;532.358;534.921;533.793;526.422;522.223;532.924;540.501;549.401;543.699;544.994;531.344;527.928;526.223;537.986;544.090;541.563;538.718;531.832;531.736;538.120;541.502;533.088;524.702;523.397;533.715;534.951;537.284;535.060;533.810;528.639;523.679;516.531;512.343;503.911;512.694;514.668;528.577;526.670;525.678;530.343;522.552
Bexley;E09000004;197.427;199.186;198.638;199.593;200.116;202.550;203.974;205.197;205.409;205.919;205.592;206.956;209.192;210.776;210.530;210.864;210.206;210.388;209.984;213.354;216.048;218.834;219.391;222.076;224.321;226.519;227.503;232.024;236.204;242.495;249.853;255.183;258.619;258.267;260.539;261.988;261.751;261.296;261.084;261.865;264.488;267.393;275.330;280.371;286.281;286.190;288.718;295.744;307.550;315.289;314.140;311.889;314.431;320.636;325.381;326.878;329.408;330.194;331.943;331.025;330.066;328.824;328.858;329.046;333.651;336.980;344.041;344.517;339.808;335.705;336.239;340.598;342.096;341.254;339.632;338.476;336.410;341.480;345.693;347.531;346.151;344.681;344.172;343.667;338.708;339.186;336.680;339.330;336.981;339.324;338.346;337.523;333.340;332.920;333.170;338.347
Brent;E09000005;309.545;305.248;305.560;297.525;301.924;312.586;323.765;333.734;323.625;319.367;314.304;322.171;325.756;323.825;323.031;326.444;328.625;334.341;336.232;347.721;353.282;355.725;361.041;359.846;365.190;364.592;367.414;379.175;391.225;400.902;404.164;406.619;414.028;410.328;412.969;419.643;422.944;420.874;423.954;429.921;440.209;435.951;438.513;443.363;449.823;461.860;455.425;468.584;469.516;482.555;473.554;485.099;488.299;493.629;494.641;489.421;499.182;504.665;502.654;490.418;472.373;475.608;484.944;488.416;490.062;492.335;491.003;498.192;490.673;489.039;485.285;494.515;493.882;493.621;482.967;485.434;480.836;492.743;505.028;519.754;510.930;493.489;479.104;476.356;479.106;478.494;475.430;486.253;481.803;474.821;473.849;488.784;501.533;494.770;435.981;425.958
Bromley;E09000006;276.025;278.474;276.014;277.342;277.756;281.963;284.387;286.912;284.967;286.087;285.692;288.682;286.846;285.701;284.151;287.190;289.506;294.243;297.145;301.769;303.569;306.433;309.176;314.302;315.709;318.486;319.079;327.863;336.866;347.891;357.092;362.181;369.784;372.018;374.420;372.899;372.856;370.458;369.932;370.450;377.118;382.266;384.313;389.249;393.831;401.827;404.754;411.124;413.460;416.897;418.642;422.301;425.210;432.272;439.331;443.018;438.327;430.090;427.363;429.187;436.538;436.075;435.582;435.137;440.152;443.763;445.258;444.117;443.953;443.294;445.251;445.504;446.737;445.944;441.430;440.859;437.880;436.971;440.996;444.573;449.293;447.534;445.563;443.140;440.624;439.716;435.996;431.643;428.093;430.002;434.257;442.189;441.058;439.178;436.680;438.397
Camden;E09000007;548.416;550.841;568.979;574.962;575.996;575.350;600.406;614.424;613.483;594.506;596.278;620.351;627.541;651.998;635.099;649.540;651.476;671.439;685.330;707.359;705.755;689.918;662.701;671.215;695.470;719.848;720.064;728.942;746.938;769.628;787.361;794.040;803.461;780.638;769.852;761.594;769.724;769.171;756.915;749.621;745.684;770.154;793.213;819.744;833.334;828.316;816.648;796.767;808.531;827.590;854.686;838.254;807.401;770.905;753.956;769.512;786.866;805.146;830.455;832.126;856.070;824.403;813.907;799.226;815.494;843.239;865.076;864.580;864.603;834.802;846.354;844.416;859.593;875.078;853.396;866.438;837.928;850.613;837.712;827.363;817.464;808.321;807.225;867.795;867.808;864.014;808.860;820.812;838.679;871.957;890.288;863.171;838.170;804.713;833.740;814.591
Croydon;E09000008;217.209;217.908;218.199;221.232;221.817;223.323;222.293;222.026;223.036;223.602;224.418;226.742;225.826;224.199;223.504;224.769;230.346;234.713;238.170;240.106;240.106;242.224;243.100;246.215;249.311;253.192;257.225;265.667;271.044;274.344;276.361;283.801;290.460;294.574;291.730;290.220;288.819;290.155;292.750;295.859;297.565;299.876;306.206;313.112;320.175;323.263;326.504;330.486;332.811;337.821;342.038;348.190;352.808;358.488;363.898;369.722;369.069;368.082;363.662;363.571;363.241;367.221;368.767;369.562;368.801;373.122;377.038;378.273;378.859;375.688;375.640;374.441;372.312;371.040;366.045;368.281;370.541;373.886;374.361;372.035;371.793;370.363;368.735;364.189;365.096;364.406;367.440;363.627;364.097;363.420;365.875;364.540;365.226;364.413;368.137;371.863
Ealing;E09000009;304.690;308.315;305.323;304.805;310.931;321.734;329.312;330.626;326.083;325.862;329.404;327.288;325.025;322.278;321.594;328.639;331.103;340.097;344.200;347.294;348.839;345.781;349.247;352.969;364.514;370.620;377.756;384.904;395.085;405.196;413.032;422.701;423.808;416.777;413.242;412.835;412.383;412.002;411.636;418.826;422.372;430.234;439.529;445.829;453.923;462.653;474.405;475.935;470.507;471.280;473.105;477.227;469.890;477.207;478.453;483.847;477.486;477.266;475.630;485.390;489.364;489.687;485.942;482.245;486.263;483.875;489.318;488.418;489.068;482.447;479.332;469.146;473.631;476.731;483.878;481.101;473.140;476.828;478.376;485.596;485.266;481.233;482.905;481.922;483.336;476.648;467.017;461.458;465.752;474.844;475.592;474.627;473.162;477.369;472.583;469.057
Enfield;E09000010;245.201;241.211;238.119;238.951;241.601;246.589;247.630;252.055;254.222;255.359;256.117;254.952;257.977;254.621;255.208;250.979;253.467;255.051;260.420;266.535;268.408;271.406;270.460;274.721;273.452;275.164;276.980;281.241;285.433;289.657;297.080;304.944;308.965;312.717;313.472;315.083;316.066;316.690;319.393;321.756;324.721;328.530;335.381;344.109;350.230;353.797;355.746;359.625;364.189;367.809;372.205;378.215;382.086;384.297;387.870;394.132;401.714;400.662;398.233;394.465;391.874;386.270;383.142;389.128;396.608;401.483;403.278;403.222;404.393;398.915;397.553;395.284;395.038;397.704;397.593;396.942;398.208;396.700;397.849;395.213;394.729;397.498;394.432;397.674;395.616;397.254;393.926;393.880;388.591;390.708;388.053;393.033;386.806;392.721;392.573;398.928
