LSOA code;local authority name;local authority code;All usual residents;White British;White Irish;White Gypsy/Irish Traveller;White Other;Mixed White and Asian;Mixed White and Black African;Mixed White and Black Caribbean;Mixed Other;Asian Bangladeshi;Asian Chinese;Asian Indian;Asian Pakistani;Asian Other;Black African;Black Caribbean;Black Other;Other Arab;Other Any other
E01000001;City of London;E09000001;1465;968;32;1;237;26;3;6;19;3;44;49;3;29;6;1;4;6;28
E01000002;City of London;E09000001;1436;1024;28;0;222;22;9;2;21;0;37;30;0;28;0;3;1;3;6
E01000003;City of London;E09000001;1346;813;37;0;205;18;4;7;26;9;44;48;6;61;23;13;9;13;10
E01000005;City of London;E09000001;985;358;16;1;131;14;14;16;15;216;19;16;0;23;52;23;25;25;21
E01000006;Barking and Dagenham;E09000002;1703;325;13;4;215;12;13;15;18;113;11;264;393;80;106;50;21;9;41
E01000007;Barking and Dagenham;E09000002;1391;274;10;0;155;10;26;11;41;74;15;140;143;75;282;59;48;12;16
E01000008;Barking and Dagenham;E09000002;1544;338;10;0;137;7;34;17;25;120;4;46;112;67;453;45;76;30;23
E01000009;Barking and Dagenham;E09000002;1773;246;6;0;170;23;19;13;7;116;17;290;452;137;157;51;20;11;38
E01000010;Barking and Dagenham;E09000002;1634;187;13;7;139;6;2;6;14;164;21;220;546;119;100;31;12;10;37
E01000011;Barking and Dagenham;E09000002;1634;187;13;7;139;6;2;6;14;164;21;220;546;119;100;31;12;10;37
E01000012;Barking and Dagenham;E09000002;1901;293;2;16;224;22;49;20;26;134;7;158;285;91;409;72;49;12;32
E01000013;Barking and Dagenham;E09000002;1976;1206;22;0;149;12;33;15;18;64;10;38;43;27;275;36;15;8;5
E01000014;Barking and Dagenham;E09000002;1340;883;10;0;111;8;11;27;9;15;10;2;14;23;174;18;16;0;9
E01000015;Barking and Dagenham;E09000002;2241;1216;16;1;257;7;22;33;12;45;20;16;23;50;385;66;29;12;31
E01000016;Barking and Dagenham;E09000002;1637;1071;17;2;64;10;14;18;11;46;11;11;12;37;255;34;8;11;5
E01000017;Barking and Dagenham;E09000002;1594;967;23;0;116;12;15;17;7;55;4;17;6;28;252;31;26;4;14
E01000018;Barking and Dagenham;E09000002;1597;1019;13;0;112;9;19;17;6;21;7;35;16;37;238;21;21;0;6
E01000019;Barking and Dagenham;E09000002;1407;694;11;0;78;12;25;23;10;72;0;81;88;56;141;63;9;10;34
